,city_name,city_lst_avg,city_lst_perc_90,feature_key,feature_value,feature_category,latitude,longitude,geometry,country_iso,city_id,sector_name,gcom_sector_name,exposure_lst_mean,lst_value_dev_city_mean,lst_pecent_dev_city_mean,lst_dev_city_mean_exposure_class,lst_value_dev_city_perc_90,lst_pecent_dev_city_perc_90,lst_dev_city_perc90_exposure_class,featureCategory,featureType,id,cityName,integrationDate,objectType,projectName,country_iso3
0,Hobart,32.12629247051426,36.64240622823729,amenity,fountain,Entertainment_Art_Culture,-42.8780417,147.3310268,POINT (147.3310268 -42.8780417),,AUS-Hobart,Entertainment_Art_Culture,Society/community & culture,33.231588302721775,1.11,103.44,Exposed,-3.41,90.69,Not Exposed,amenity,fountain,301928929.0,Hobart,2021-10-06,amenity,dataportal,AUS
1,Hobart,32.12629247051426,36.64240622823729,,,,-42.886843,147.331885,POINT (147.331885 -42.886843),,AUS-Hobart,Other,Other,33.443554057060965,1.32,104.1,Exposed,-3.2,91.27,Not Exposed,amenity,pub,303688146.0,Hobart,2021-10-06,amenity,dataportal,AUS
2,Hobart,32.12629247051426,36.64240622823729,,,,-42.8909788,147.3350316,POINT (147.3350316 -42.8909788),,AUS-Hobart,Other,Other,35.471817464502976,3.35,110.41,Exposed,-1.17,96.81,Not Exposed,amenity,pub,303688228.0,Hobart,2021-10-06,amenity,dataportal,AUS
3,Hobart,32.12629247051426,36.64240622823729,amenity,cinema,Entertainment_Art_Culture,-42.885777,147.323891,POINT (147.323891 -42.885777),,AUS-Hobart,Entertainment_Art_Culture,Society/community & culture,31.078087619457563,-1.05,96.74,Not Exposed,-5.56,84.81,Not Exposed,amenity,cinema,303743971.0,Hobart,2021-10-06,amenity,dataportal,AUS
4,Hobart,32.12629247051426,36.64240622823729,,,,-42.8895232,147.3235696,POINT (147.3235696 -42.8895232),,AUS-Hobart,Other,Other,33.74557569917971,1.62,105.04,Exposed,-2.9,92.09,Not Exposed,amenity,pub,319713233.0,Hobart,2021-10-06,amenity,dataportal,AUS
5,Hobart,32.12629247051426,36.64240622823729,amenity,cafe,Sustenance,-42.8875249,147.3324859,POINT (147.3324859 -42.8875249),,AUS-Hobart,Sustenance,Commercial,34.65200770401657,2.53,107.86,Exposed,-1.99,94.57,Not Exposed,amenity,cafe,319714124.0,Hobart,2021-10-06,amenity,dataportal,AUS
6,Hobart,32.12629247051426,36.64240622823729,,,,-42.8865882,147.3308232,POINT (147.3308232 -42.8865882),,AUS-Hobart,Other,Other,33.25800802102407,1.13,103.52,Exposed,-3.38,90.76,Not Exposed,amenity,pub,319714168.0,Hobart,2021-10-06,amenity,dataportal,AUS
7,Hobart,32.12629247051426,36.64240622823729,amenity,toilets,Facilities,-42.8831776,147.3307844,POINT (147.3307844 -42.8831776),,AUS-Hobart,Facilities,Water supply and sanitation,31.64075422328756,-0.49,98.49,Not Exposed,-5.0,86.35,Not Exposed,amenity,toilets,320824054.0,Hobart,2021-10-06,amenity,dataportal,AUS
8,Hobart,32.12629247051426,36.64240622823729,,,,-42.8747555,147.3174161,POINT (147.3174161 -42.8747555),,AUS-Hobart,Other,Other,35.94627898009304,3.82,111.89,Exposed,-0.7,98.1,Not Exposed,amenity,pub,324896700.0,Hobart,2021-10-06,amenity,dataportal,AUS
9,Hobart,32.12629247051426,36.64240622823729,amenity,post_office,Public_Service,-42.8811477,147.3250066,POINT (147.3250066 -42.8811477),,AUS-Hobart,Public_Service,Law & Order,32.5487238104393,0.42,101.31,Exposed,-4.09,88.83,Not Exposed,amenity,post_office,324915775.0,Hobart,2021-10-06,amenity,dataportal,AUS
